longitude,latitude,stype,fwy,direc,abs_pm,state_pm,size
-121.444782,38.593388,ML,51,N,3.101,3.101,3
-121.419484,38.61932,ML,51,N,5.447,5.447,3
-121.41574,38.624622,ML,51,N,5.91,5.91,3
-121.415556,38.624694,FR,51,N,5.921,5.921,3
-121.411041,38.626546,ML,51,N,6.194,6.194,3
-121.411123,38.626511,FR,51,N,6.189,6.189,3
-121.402163,38.630571,ML,51,S,6.725,6.743,3
-121.402163,38.630571,OR,51,S,6.725,6.743,3
-121.399941,38.631139,ML,51,N,6.869,6.869,3
-121.399941,38.631139,OR,51,N,6.869,6.869,3
-121.388222,38.635728,ML,51,S,7.565,7.583,3
-121.388511,38.635576,OR,51,S,7.546,7.564,3
-121.384478,38.638497,ML,51,N,7.863,7.863,3
-121.384478,38.638497,OR,51,N,7.863,7.863,3
-121.383432,38.639721,ML,51,S,7.947,7.965,3
-121.383432,38.639721,OR,51,S,7.947,7.965,3
-121.37871,38.558938,ML,50,W,11.008,R5.374,3
-121.37871,38.558938,OR,50,W,11.008,R5.374,3
-121.37871,38.558938,FR,50,W,11.008,R5.374,3
-121.336473,38.565998,ML,50,W,13.375,R7.741,3
-121.336473,38.565998,OR,50,W,13.375,R7.741,3
-121.334983,38.566723,ML,50,W,13.47,R7.836,3
-121.334983,38.566723,OR,50,W,13.47,R7.836,3
-121.334983,38.566723,FR,50,W,13.47,R7.836,3
-121.307113,38.579132,ML,50,W,15.205,R9.571,3
-121.307429,38.578957,OR,50,W,15.184,R9.55,3
-121.305839,38.579894,FR,50,W,15.292,R9.658,3
-121.288588,38.590372,ML,50,W,16.477,R10.843,3
-121.288152,38.590638,OR,50,W,16.507,R10.873,3
-121.286115,38.591859,ML,50,W,16.646,R11.012,3
-121.28635,38.591718,OR,50,W,16.63,R10.996,3
-121.217366,38.630616,OR,50,E,21.405,15.735,3
-121.216679,38.630971,ML,50,E,21.449,15.779,3
-121.216148,38.631246,OR,50,E,21.483,15.813,3
-121.217801,38.630603,ML,50,W,21.385,15.715,3
-121.219562,38.629672,OR,50,W,21.27,15.6,3
-121.216123,38.631488,ML,50,W,21.493,15.823,3
-121.216201,38.631447,OR,50,W,21.488,15.818,3
-121.214837,38.632165,FR,50,W,21.575,15.905,3
-121.479317,38.640373,ML,80,E,88.802,M4.897,3
-121.479007,38.640413,OR,80,E,88.819,M4.914,3
-121.479518,38.64035,FR,80,E,88.791,M4.886,3
-121.476084,38.640759,ML,80,E,88.979,M5.074,3
-121.476175,38.64075,OR,80,E,88.974,M5.069,3
-121.45372,38.641164,ML,80,E,90.194,M6.289,3
-121.453683,38.641163,OR,80,E,90.196,M6.291,3
-121.466872,38.523271,ML,99,S,296.265,21.82,3
-121.490799,38.443682,ML,5,N,508.554,13.261,3
-121.394785,38.422588,ML,99,N,288.217,13.747,3
-121.395775,38.424808,ML,99,N,288.379,13.909,3
-121.398905,38.431706,ML,99,N,288.884,14.414,3
-121.381501,38.641262,ML,51,N,8.112,8.112,3
-121.388824,38.409665,ML,99,N,287.271,12.801,3
-121.428381,38.609855,ML,51,S,4.594,4.612,3
-121.42621,38.611777,ML,51,S,4.772,4.79,3
-121.199419,38.639657,ML,50,W,22.539,16.869,3
-121.159864,38.642303,ML,50,W,24.737,19.067,3
-121.155977,38.642136,ML,50,W,24.951,19.281,3
-121.367632,38.654384,ML,80,W,95.364,11.864,3
-121.367313,38.654139,ML,80,E,95.364,11.864,3
-121.353312,38.667724,ML,80,W,96.567,13.067,3
-121.352565,38.667783,ML,80,E,96.6,13.1,3
-121.345412,38.674994,ML,80,W,97.226,13.726,3
-121.345118,38.674634,ML,80,E,97.225,13.725,3
-121.330476,38.688614,ML,80,W,98.465,14.965,3
-121.330355,38.68816,ML,80,E,98.461,14.961,3
-121.330501,38.688592,ML,80,W,98.463,14.963,3
-121.330331,38.688182,ML,80,E,98.463,14.963,3
-121.311747,38.70566,ML,80,W,100.017,16.517,3
-121.312447,38.704565,ML,80,E,99.96,16.46,3
-121.309389,38.707798,ML,80,W,100.212,16.712,3
-121.309709,38.707089,ML,80,E,100.19,16.69,3
-121.300485,38.71594,ML,80,W,100.953,17.453,3
-121.303606,38.712665,ML,80,E,100.7,17.200,3
-121.297519,38.718232,ML,80,E,101.209,17.709,3
-121.297325,38.718773,ML,80,W,101.213,17.713,3
-121.399411,38.640414,ML,80,W,93.29,M9.385,3
-121.290759,38.724578,ML,80,W,101.749,0.249,3
-121.289214,38.725984,ML,80,W,101.877,0.377,3
-121.155374,38.641851,ML,50,E,24.984,19.314,3
-121.151424,38.641689,ML,50,E,25.196,19.526,3
-121.318965,38.69913,ML,80,W,99.421,15.921,3
-121.318884,38.698664,ML,80,E,99.421,15.921,3
-121.159864,38.642303,OR,50,W,24.737,19.067,3
-121.155977,38.642136,OR,50,W,24.951,19.281,3
-121.181267,38.641958,ML,50,W,23.549,17.879,3
-121.181256,38.641762,ML,50,E,23.549,17.879,3
-121.228254,38.625123,ML,50,W,20.704,15.034,3
-121.228112,38.624931,ML,50,E,20.704,15.034,3
-121.253517,38.615523,ML,50,W,19.184,13.514,3
-121.253397,38.615299,ML,50,E,19.184,13.514,3
-121.189439,38.640953,ML,50,W,23.092,17.422,3
-121.189423,38.640768,ML,50,E,23.092,17.422,3
-121.299476,38.583757,ML,50,W,15.729,R10.095,3
-121.299367,38.583616,ML,50,E,15.729,R10.095,3
-121.439034,38.554125,ML,50,E,7.616,R1.982,3
-121.428589,38.55068,ML,50,E,8.232,R2.598,3
-121.414129,38.552553,ML,50,E,9.035,R3.401,3
-121.462558,38.560761,ML,50,E,6.249,R0.615,3
-121.308533,38.578137,ML,50,E,15.102,R9.468,3
-121.372167,38.5596,ML,50,W,11.365,R5.731,3
-121.372086,38.559377,ML,50,E,11.365,R5.731,3
-121.328012,38.569862,ML,50,E,13.906,R8.272,3
-121.328152,38.570082,ML,50,W,13.906,R8.272,3
-121.558708,38.575318,ML,50,W,0.576,0.576,3
-121.558706,38.57515,ML,50,E,0.576,0.576,3
-121.526504,38.577184,ML,50,W,2.39,2.39,3
-121.526523,38.577018,ML,50,E,2.39,2.39,3
-121.347761,38.562181,ML,50,W,12.698,R7.064,3
-121.347837,38.561939,ML,50,E,12.689,R7.055,3
